theTime_day,n
2016-06-13,2
2016-07-21,1
2016-09-01,2
2016-09-09,2
2016-09-13,1
2016-09-14,4
2016-09-15,4
2016-09-19,1
2016-09-26,57
2016-09-27,26
2016-09-28,25
2016-09-29,15
2016-09-30,27
2016-10-01,7
2016-10-02,44
2016-10-03,300
2016-10-04,15
2016-10-05,17
2016-10-06,18
2016-10-07,8
2016-10-08,9
2016-10-09,55
2016-10-10,407
2016-10-11,3
2016-10-12,1
2016-10-13,11
2016-10-14,33
2016-10-16,50
2016-10-17,418
2016-10-18,67
2016-10-19,24
2016-10-20,37
2016-10-21,7
2016-10-22,13
2016-10-23,35
2016-10-24,488
2016-10-25,51
2016-10-26,18
2016-10-27,50
2016-10-28,10
2016-10-29,1
2016-10-30,26
2016-10-31,347
2016-11-01,36
2016-11-02,38
2016-11-03,18
2016-11-04,21
2016-11-05,21
2016-11-06,9
2016-11-07,316
2016-11-08,36
2016-11-09,16
2016-11-10,34
2016-11-11,28
2016-11-12,14
2016-11-13,11
2016-11-14,217
2016-11-15,84
2016-11-16,158
2016-11-17,96
2016-11-18,124
2016-11-19,52
2016-11-20,35
2016-11-21,329
2016-11-22,273
2016-11-23,272
2016-11-24,170
2016-11-25,141
2016-11-26,114
2016-11-27,79
2016-11-28,521
2016-11-29,293
2016-11-30,326
2016-12-01,372
2016-12-02,399
2016-12-03,180
2016-12-04,298
2016-12-05,534
2016-12-06,157
2016-12-07,92
2016-12-08,110
